Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC
Long Valley,"1016	",Idaho,SNOTEL,Valley,4890,44.78835,-116.08878,"170501230206	"
Lookout,"594	",Idaho,SNOTEL,Shoshone,5190,47.45749,-115.70457,"170103020101	"
Lost Lake,"600	",Idaho,SNOTEL,Shoshone,6110,47.0809,-115.9604,"170603080101	"
Lost-Wood Divide,"601	",Idaho,SNOTEL,Blaine,7900,43.82432,-114.26402,"170402190304	"
Magic Mountain,"610	",Idaho,SNOTEL,Twin Falls,6880,42.18072,-114.28662,"170402120601	"
Meadow Lake,"620	",Idaho,SNOTEL,Lemhi,9150,44.43655,-113.31815,"170602040101	"
Mica Creek,"623	",Idaho,SNOTEL,Shoshone,4510,47.15045,-116.26643,"170103040604	"
Mill Creek Summit,"627	",Idaho,SNOTEL,Custer,8800,44.47212,-114.48992,"170602010501	"
Moonshine,"636	",Idaho,SNOTEL,Lemhi,7440,44.4147,-113.39812,"170402170201	"
Moose Creek,"638	",Idaho,SNOTEL,Lemhi,6200,45.67008,-113.95315,"170602030601	"
Mores Creek Summit,"637	",Idaho,SNOTEL,Boise,6100,43.932,-115.66588,"170501110503	"
Morgan Creek,"639	",Idaho,SNOTEL,Lemhi,7600,44.84237,-114.26871,"170602030901	"
Moscow Mountain,"989	",Idaho,SNOTEL,Latah,4700,46.805,-116.8535,"170603061002	"
Mosquito Ridge,"645	",Idaho,SNOTEL,Shoshone,5260,48.05726,-116.23055,"170103010101	"
Mountain Meadows,"650	",Idaho,SNOTEL,Idaho,6320,45.69694,-115.22972,"170603020301	"
Mud Flat,"654	",Idaho,SNOTEL,Owyhee,5730,42.6004,-116.55925,"170501041401	"
Myrtle Creek,"1053	",Idaho,SNOTEL,Boundary,3520,48.72263,-116.46312,"170101040701	"
Oxford Spring,"677	",Idaho,SNOTEL,Oneida,6740,42.26015,-112.12515,"160102040206	"
Pebble Creek,"1299	",Idaho,SNOTEL,Caribou,6513,42.7674,-112.10648,"170402080206	"
Pierce R.S.,"1142	",Idaho,SNOTEL,Clearwater,3080,46.49597,-115.7957,"170603060401	"
Pine Creek Pass,"695	",Idaho,SNOTEL,Teton,6720,43.56998,-111.21157,"170402040101	"
Prairie,"704	",Idaho,SNOTEL,Elmore,4800,43.50513,-115.573,"170501131103	"
Puhi Flat,"782	",Idaho,SNOTEL,Adams,6240,44.77091,-116.24805,"170501240401	"
Ragged Mountain,"1081	",Idaho,SNOTEL,Kootenai,4210,47.85583,-117.03667,"170103050302	"
Reynolds Creek,"2029	",Idaho,SNOTEL,Owyhee,5600,43.28863,-116.8431,"170501030604	"
Savage Pass,"735	",Idaho,SNOTEL,Idaho,6190,46.46633,-114.63333,"170603030208	"
Schwartz Lake,"915	",Idaho,SNOTEL,Lemhi,8630,44.84618,-113.83732,"170602040604	"
Schweitzer Basin,"738	",Idaho,SNOTEL,Bonner,6090,48.37428,-116.63917,"170102150502	"
Secesh Summit,"740	",Idaho,SNOTEL,Valley,6540,45.18848,-115.97152,"170501230101	"
Sedgwick Peak,"741	",Idaho,SNOTEL,Bannock,7850,42.52497,-111.95635,"170402080209	"
Shanghi Summit,"747	",Idaho,SNOTEL,Clearwater,4600,46.56603,-115.74216,"170603060402	"
Sheep Mtn.,"749	",Idaho,SNOTEL,Bingham,6650,43.2103,-111.68792,"170402050304	"
Sherwin,"752	",Idaho,SNOTEL,Latah,3200,46.95028,-116.33972,"170103040703	"
Slug Creek Divide,"761	",Idaho,SNOTEL,Caribou,7225,42.56248,-111.29797,"170402070201	"
Smiley Mountain,"926	",Idaho,SNOTEL,Custer,9520,43.72718,-113.83402,"170402180102	"
Soldier R.S.,"769	",Idaho,SNOTEL,Camas,5740,43.48407,-114.82692,"170402200303	"
Somsen Ranch,"770	",Idaho,SNOTEL,Caribou,6800,42.95275,-111.35933,"170402070101	"
South Mtn.,"774	",Idaho,SNOTEL,Owyhee,6500,42.76478,-116.90037,"170501080205	"
Stickney Mill,"792	",Idaho,SNOTEL,Custer,7430,43.86117,-114.20902,"170402180303	"
Sunset,"803	",Idaho,SNOTEL,Shoshone,5540,47.55545,-115.82422,"170103020102	"
Swede Peak,"805	",Idaho,SNOTEL,Blaine,7640,43.626,-113.96887,"170402210301	"
Trinity Mtn.,"830	",Idaho,SNOTEL,Elmore,7770,43.62903,-115.43818,"170501110703	"
Van Wyck,"979	",Idaho,SNOTEL,Washington,4920,44.37665,-116.3366,"170501240902	"
Vienna Mine,"845	",Idaho,SNOTEL,Blaine,8960,43.79942,-114.85273,"170602010201	"
West Branch,"855	",Idaho,SNOTEL,Adams,5560,45.0722,-116.45413,"170501240201	"
White Elephant,"860	",Idaho,SNOTEL,Fremont,7710,44.53267,-111.41085,"170402020305	"
Wildhorse Divide,"867	",Idaho,SNOTEL,Bannock,6490,42.75743,-112.47783,"170402080504	"
Wilson Creek,"871	",Idaho,SNOTEL,Twin Falls,7120,42.01257,-115.00278,"170402130202	"
Albro Lake,"916	",Montana,SNOTEL,Madison,8300,45.59723,-111.95902,"100200050701	"
Badger Pass,"307	",Montana,SNOTEL,Pondera,6900,48.13091,-113.02311,"100302010201	"
Banfield Mountain,"311	",Montana,SNOTEL,Lincoln,5600,48.5712,-115.44573,"170101011202	"
Barker Lakes,"313	",Montana,SNOTEL,Deer Lodge,8250,46.09713,-113.13038,"170102010304	"
Basin Creek,"315	",Montana,SNOTEL,Silver Bow,7180,45.79737,-112.52047,"170102010201	"
Bassoo Peak,"1190	",Montana,SNOTEL,Sanders,5150,47.85562,-114.75841,"170102120105	"
Beagle Springs,"318	",Montana,SNOTEL,Beaverhead,8850,44.47147,-112.98191,"100200010501	"
Beaver Creek,"328	",Montana,SNOTEL,Gallatin,7850,44.94966,-111.35852,"100200070402	"
Bisson Creek,"346	",Montana,SNOTEL,Lake,4920,47.68386,-113.99895,"170102120602	"
Black Bear,"347	",Montana,SNOTEL,Gallatin,8170,44.50832,-111.12803,"100200070202	"
Black Pine,"349	",Montana,SNOTEL,Granite,7210,46.414,-113.43095,"170102020203	"
Blacktail Mtn,"1144	",Montana,SNOTEL,Flathead,5650,47.98317,-114.35443,"170102080302	"
Bloody Dick,"355	",Montana,SNOTEL,Beaverhead,7600,45.16507,-113.50099,"100200011002	"
Boulder Mountain,"360	",Montana,SNOTEL,Meagher,7950,46.5596,-111.28973,"100301030501	"
Box Canyon,"363	",Montana,SNOTEL,Park,6670,45.27178,-110.24899,"100700020902	"
Brackett Creek,"365	",Montana,SNOTEL,Gallatin,7320,45.89107,-110.93851,"100700030403	"
Burnt Mtn,"981	",Montana,SNOTEL,Carbon,5880,45.2401,-109.45961,"100700060802	"
Calvert Creek,"381	",Montana,SNOTEL,Deer Lodge,6430,45.8838,-113.32553,"100200040801	"
Carrot Basin,"385	",Montana,SNOTEL,Gallatin,9000,44.96192,-111.29403,"100200080105	"
Chicago Ridge,"1312	",Montana,SNOTEL,Sanders,5800,48.06224,-115.69748,"170102131301	"
Clover Meadow,"403	",Montana,SNOTEL,Madison,8600,45.01788,-111.8456,"100200070803	"
Cole Creek,"407	",Montana,SNOTEL,Carbon,7850,45.19405,-109.34548,"100700060801	"
Combination,"410	",Montana,SNOTEL,Granite,5600,46.46523,-113.39358,"170102020401	"
Copper Bottom,"413	",Montana,SNOTEL,Lewis And Clark,5200,47.05678,-112.595,"170102030103	"
Copper Camp,"414	",Montana,SNOTEL,Lewis And Clark,6950,47.08158,-112.72955,"170102030103	"
Crystal Lake,"427	",Montana,SNOTEL,Fergus,6050,46.78936,-109.51202,"100401030204	"
Daisy Peak,"919	",Montana,SNOTEL,Meagher,7600,46.66858,-110.33022,"100402010106	"
Daly Creek,"433	",Montana,SNOTEL,Ravalli,5780,46.18367,-113.8533,"170102050901	"
Darkhorse Lake,"436	",Montana,SNOTEL,Beaverhead,8945,45.17368,-113.5846,"100200040301	"
Deadman Creek,"437	",Montana,SNOTEL,Meagher,6450,46.79279,-110.67545,"100301030401	"
Divide,"448	",Montana,SNOTEL,Madison,7800,44.79317,-112.05645,"100200030102	"
Dupuyer Creek,"458	",Montana,SNOTEL,Teton,5750,48.06341,-112.7573,"100302010501	"
East Boulder Mine,"1105	",Montana,SNOTEL,Sweet Grass,6335,45.50381,-110.08019,"100700020701	"
Elk Peak Alt,"1316	",Montana,SNOTEL,Meagher,7820,46.47617,-110.72148,"100301030104	"
Emery Creek,"469	",Montana,SNOTEL,Flathead,4350,48.43412,-113.93725,"170102090703	"
Fisher Creek,"480	",Montana,SNOTEL,Park,9100,45.06235,-109.94488,"100700060202	"
Flattop Mtn.,"482	",Montana,SNOTEL,Flathead,6300,48.80225,-113.85713,"170102070501	"
Frohner Meadow,"487	",Montana,SNOTEL,Jefferson,6480,46.43545,-112.19277,"100301011305	"
Garver Creek,"918	",Montana,SNOTEL,Lincoln,4250,48.97523,-115.81915,"170101030202	"
Grave Creek,"500	",Montana,SNOTEL,Flathead,4300,48.91453,-114.76663,"170101010801	"
Hand Creek,"510	",Montana,SNOTEL,Flathead,5035,48.30754,-114.84075,"170102100304	"
Hawkins Lake,"516	",Montana,SNOTEL,Lincoln,6450,48.9724,-115.95344,"170101050201	"
Hoodoo Basin,"530	",Montana,SNOTEL,Mineral,6050,46.97511,-115.03486,"170102040607	"
JL Meadow,"1287	",Montana,SNOTEL,Beaverhead,8800,44.77665,-113.12217,"100200011202	"
Kraft Creek,"562	",Montana,SNOTEL,Missoula,4750,47.42749,-113.77515,"170102110104	"
Lakeview Ridge,"568	",Montana,SNOTEL,Beaverhead,7400,44.58907,-111.82498,"100200010105	"
Lemhi Ridge,"576	",Montana,SNOTEL,Beaverhead,8100,44.9938,-113.44399,"100200011106	"
Lick Creek,"578	",Montana,SNOTEL,Gallatin,6860,45.5041,-110.96625,"100200081001	"
Lone Mountain,"590	",Montana,SNOTEL,Madison,8880,45.27412,-111.42692,"100200080201	"
Lower Twin,"603	",Montana,SNOTEL,Madison,7900,45.50871,-111.92288,"100200071101	"
Lubrecht Flume,"604	",Montana,SNOTEL,Missoula,4680,46.88293,-113.32228,"170102031204	"
Madison Plateau,"609	",Montana,SNOTEL,Gallatin,7750,44.58623,-111.11627,"100200070204	"
Many Glacier,"613	",Montana,SNOTEL,Glacier,4900,48.79698,-113.6705,"090400010201	"
Monument Peak,"635	",Montana,SNOTEL,Park,8850,45.21759,-110.237,"100700020902	"
Moss Peak,"646	",Montana,SNOTEL,Lake,6780,47.68497,-113.96239,"170102080404	"
Mount Lockhart,"649	",Montana,SNOTEL,Teton,6400,47.91727,-112.8238,"100302050102	"
Mule Creek,"656	",Montana,SNOTEL,Beaverhead,8300,45.40957,-112.95927,"100200041303	"
N Fk Elk Creek,"657	",Montana,SNOTEL,Powell,6250,46.8716,-113.27725,"170102031204	"
Nevada Ridge,"903	",Montana,SNOTEL,Lewis And Clark,7020,46.84234,-112.50787,"170102030302	"
Nez Perce Camp,"662	",Montana,SNOTEL,Ravalli,5650,45.73107,-114.48075,"170102050204	"
Noisy Basin,"664	",Montana,SNOTEL,Flathead,6040,48.15668,-113.9463,"170102080208	"
North Fork Jocko,"667	",Montana,SNOTEL,Missoula,6330,47.27258,-113.75631,"170102120702	"
Northeast Entrance,"670	",Montana,SNOTEL,Yellowstone National Park,7350,45.00568,-110.01411,"100700010602	"
Onion Park,"1008	",Montana,SNOTEL,Meagher,7410,46.91348,-110.8536,"100301030801	"
Peterson Meadows,"930	",Montana,SNOTEL,Granite,7200,46.12588,-113.30792,"170102020101	"
Pickfoot Creek,"690	",Montana,SNOTEL,Meagher,6650,46.57969,-111.26812,"100301030501	"
Pike Creek,"693	",Montana,SNOTEL,Pondera,5930,48.30305,-113.32868,"100302010103	"
Placer Basin,"696	",Montana,SNOTEL,Sweet Grass,8830,45.41905,-110.08844,"100700020701	"
Poorman Creek,"932	",Montana,SNOTEL,Lincoln,5100,48.12632,-115.6234,"170101011301	"
Porcupine,"700	",Montana,SNOTEL,Park,6500,46.11192,-110.4696,"100700030303	"
Rocker Peak,"722	",Montana,SNOTEL,Jefferson,8000,46.35613,-112.26176,"100200060302	"
Rocky Boy,"917	",Montana,SNOTEL,Hill,4700,48.17478,-109.64728,"100500040101	"
S Fork Shields,"725	",Montana,SNOTEL,Park,8100,46.08963,-110.43367,"100700030301	"
Sacajawea,"929	",Montana,SNOTEL,Gallatin,6550,45.87395,-110.92783,"100700030403	"
Saddle Mtn.,"727	",Montana,SNOTEL,Beaverhead,7940,45.69259,-113.96828,"170102050502	"
Short Creek,"753	",Montana,SNOTEL,Madison,7000,44.97572,-111.95215,"100200030106	"
Shower Falls,"754	",Montana,SNOTEL,Gallatin,8100,45.40125,-110.95758,"100200081001	"
Skalkaho Summit,"760	",Montana,SNOTEL,Granite,7250,46.24212,-113.7725,"170102021003	"
Slagamelt Lakes,"1286	",Montana,SNOTEL,Beaverhead,8620,45.36526,-113.71834,"100200040308	"
Sleeping Woman,"783	",Montana,SNOTEL,Sanders,6150,47.17902,-114.33371,"170102120708	"
Spur Park,"781	",Montana,SNOTEL,Judith Basin,8100,46.77962,-110.62165,"100401030301	"
Stahl Peak,"787	",Montana,SNOTEL,Lincoln,6030,48.90902,-114.86298,"170101010801	"
Stringer Creek,"1009	",Montana,SNOTEL,Meagher,6550,46.9269,-110.90198,"100301030801	"
Stryker Basin,"1311	",Montana,SNOTEL,Flathead,6194,48.68005,-114.66365,"170102100501	"
Stuart Mountain,"901	",Montana,SNOTEL,Missoula,7400,46.99521,-113.92667,"170102040102	"
Tepee Creek,"813	",Montana,SNOTEL,Madison,8000,44.78562,-111.71,"100200070602	"
Tizer Basin,"893	",Montana,SNOTEL,Jefferson,6880,46.34937,-111.85308,"100301010701	"
Twelvemile Creek,"835	",Montana,SNOTEL,Ravalli,5600,46.14287,-114.44755,"170102050601	"
Twin Lakes,"836	",Montana,SNOTEL,Ravalli,6400,46.1438,-114.5056,"170102050601	"
Waldron,"847	",Montana,SNOTEL,Teton,5600,47.91998,-112.79087,"100302050102	"
Warm Springs,"850	",Montana,SNOTEL,Granite,7800,46.27368,-113.164,"170102010302	"
West Yellowstone,"924	",Montana,SNOTEL,Gallatin,6700,44.65866,-111.09199,"100200070205	"
Whiskey Creek,"858	",Montana,SNOTEL,Gallatin,6800,44.61088,-111.14998,"100200070203	"
White Mill,"862	",Montana,SNOTEL,Park,8700,45.04575,-109.90987,"100700060202	"
Wood Creek,"876	",Montana,SNOTEL,Lewis And Clark,5960,47.44847,-112.81428,"100301040202	"
Bear Creek,"321	",Nevada,SNOTEL,Elko,8040,41.83384,-115.45278,"170501020301	"
Berry Creek,"334	",Nevada,SNOTEL,White Pine,9377,39.31917,-114.62278,"160600081301	"
Big Bend,"336	",Nevada,SNOTEL,Elko,6898,41.76168,-115.6931,"170501040104	"
Big Creek Sum,"337	",Nevada,SNOTEL,Lander,8685,39.29148,-117.11506,"160401070303	"
Big Meadow,"340	",Nevada,SNOTEL,Washoe,8235,39.455,-119.9422,"160501020505	"
Bird Creek,"1155	",Nevada,SNOTEL,White Pine,7537,39.46138,-114.64863,"160600081304	"
Bristlecone Trail,"1111	",Nevada,SNOTEL,Clark,8890,36.31575,-115.69543,"150100150206	"
Buckskin Lower,"373	",Nevada,SNOTEL,Humboldt,6930,41.75067,-117.53182,"160401090502	"
Cave Mountain,"1152	",Nevada,SNOTEL,White Pine,10578,39.16337,-114.6133,"160600080402	"
Corduroy Flat,"1209	",Nevada,SNOTEL,White Pine,8640,38.99651,-115.42478,"160600121206	"
Corral Canyon,"417	",Nevada,SNOTEL,Elko,8445,40.27551,-115.54017,"160401030401	"
Diamond Peak,"443	",Nevada,SNOTEL,Eureka,8017,39.56361,-115.84421,"160600051503	"
Disaster Peak,"445	",Nevada,SNOTEL,Humboldt,6260,41.96737,-118.18934,"160402010201	"
Dorsey Basin,"453	",Nevada,SNOTEL,Elko,7903,40.89343,-115.21104,"160401010604	"
Draw Creek,"454	",Nevada,SNOTEL,Elko,7332,41.661,-115.3234,"160401010403	"
Dry Creek,"1243	",Nevada,SNOTEL,Elko,6555,40.8638,-115.22014,"160401010601	"
Fawn Creek,"476	",Nevada,SNOTEL,Elko,7031,41.82098,-116.10153,"170501040304	"
Fry Canyon,"1262	",Nevada,SNOTEL,Elko,6798,41.58008,-115.9364,"160401020101	"
Golconda,"1195	",Nevada,SNOTEL,Humboldt,6616,40.88358,-117.58812,"160401080102	"
Granite Peak,"498	",Nevada,SNOTEL,Humboldt,8503,41.67032,-117.56668,"160401090601	"
Green Mountain,"503	",Nevada,SNOTEL,Elko,8185,40.3848,-115.52757,"160401030401	"
Hole-in-Mountain,"527	",Nevada,SNOTEL,Elko,8163,40.94168,-115.0954,"160600071602	"
Jack Creek Upper,"548	",Nevada,SNOTEL,Elko,7377,41.54675,-116.00517,"170501050201	"
Jacks Peak,"549	",Nevada,SNOTEL,Elko,8424,41.5136,-116.0117,"170501050201	"
Kalamazoo,"1150	",Nevada,SNOTEL,White Pine,7775,39.5579,-114.62762,"160600080700	"
Lamance Creek,"569	",Nevada,SNOTEL,Humboldt,6395,41.51542,-117.63197,"160401090603	"
Lamoille #3,"570	",Nevada,SNOTEL,Elko,8051,40.6448,-115.3812,"160401010607	"
Lamoille Upper,"1310	",Nevada,SNOTEL,Elko,8990,40.59965,-115.37902,"160401010607	"
Laurel Draw,"573	",Nevada,SNOTEL,Elko,6682,41.77637,-116.02957,"170501040202	"
Lee Canyon,"1112	",Nevada,SNOTEL,Clark,8626,36.30537,-115.67508,"150100150206	"
Lewis Peak,"1006	",Nevada,SNOTEL,Lander,7370,40.3572,-116.8647,"160401070903	"
Little Valley,"1242	",Nevada,SNOTEL,Washoe,6493,39.25259,-119.8771,"160501020301	"
Marlette Lake,"615	",Nevada,SNOTEL,Carson City,7884,39.16395,-119.89672,"160501010201	"
Merritt Mountain,"1207	",Nevada,SNOTEL,Elko,6915,41.8927,-115.858,"170501020601	"
Mt Rose Ski Area,"652	",Nevada,SNOTEL,Washoe,8801,39.31573,-119.89473,"160501020304	"
ONeil Creek,"1272	",Nevada,SNOTEL,Elko,6520,41.8642,-115.08316,"170402130106	"
Pole Canyon,"1244	",Nevada,SNOTEL,Elko,7760,40.86293,-115.12067,"160600071101	"
Pole Creek R.S.,"698	",Nevada,SNOTEL,Elko,8360,41.87255,-115.24713,"170501021002	"
Porter Canyon,"2170	",Nevada,SNOTEL,Lander,7187,39.46544,-117.62069,"160600020102	"
Rainbow Canyon,"1110	",Nevada,SNOTEL,Clark,7860,36.2493,-115.62972,"150100150301	"
Seventysix Creek,"746	",Nevada,SNOTEL,Elko,7350,41.73732,-115.47215,"170501020108	"
Sheldon,"750	",Nevada,SNOTEL,Washoe,5865,41.90435,-119.44464,"171200080106	"
Summit Lk,"1194	",Nevada,SNOTEL,Humboldt,7615,41.48953,-118.99663,"160402021301	"
Taylor Canyon,"811	",Nevada,SNOTEL,Elko,6325,41.2287,-116.0293,"170501050105	"
Toe Jam,"1136	",Nevada,SNOTEL,Elko,7690,41.3187,-116.3408,"160401060202	"
Vacarro Springs,"1137	",Nevada,SNOTEL,Eureka,7890,39.4495,-115.9834,"160600051503	"
Ward Mountain,"849	",Nevada,SNOTEL,White Pine,9163,39.13242,-114.95575,"150100110105	"
Wheeler Peak,"1147	",Nevada,SNOTEL,White Pine,10060,39.00995,-114.31021,"160203010801	"
Bateman,"316	",New Mexico,SNOTEL,Rio Arriba,9249,36.51174,-106.31543,"130201020901	"
Chamita,"394	",New Mexico,SNOTEL,Rio Arriba,8383,36.95606,-106.65723,"130201020204	"
Elk Cabin,"921	",New Mexico,SNOTEL,Santa Fe,8239,35.7073,-105.80584,"130202010102	"
Frisco Divide,"486	",New Mexico,SNOTEL,Catron,8013,33.73687,-108.94327,"150400040303	"
Gallegos Peak,"491	",New Mexico,SNOTEL,Taos,9480,36.19418,-105.55742,"130201010502	"
Garita Peak,"1173	",New Mexico,SNOTEL,Rio Arriba,10115,36.00469,-106.54805,"130202020201	"
Hopewell,"532	",New Mexico,SNOTEL,Rio Arriba,10095,36.71632,-106.2637,"130201021401	"
Lookout Mountain,"595	",New Mexico,SNOTEL,Sierra,8509,33.36089,-107.83203,"150400010402	"
Mcknight Cabin,"1048	",New Mexico,SNOTEL,Grant,9242,33.00796,-107.86982,"130302020103	"
Navajo Whiskey Ck,"1138	",New Mexico,SNOTEL,San Juan,9064,36.17716,-108.94556,"140802040206	"
North Costilla,"665	",New Mexico,SNOTEL,Taos,10598,36.99396,-105.25988,"130201010101	"
Palo,"1170	",New Mexico,SNOTEL,Taos,9343,36.40869,-105.33038,"130201010601	"
Quemazon,"708	",New Mexico,SNOTEL,Los Alamos,9507,35.92195,-106.39179,"130201011303	"
Red River Pass #2,"715	",New Mexico,SNOTEL,Taos,9855,36.69935,-105.34145,"130201010301	"
Rice Park,"933	",New Mexico,SNOTEL,Cibola,8497,35.23658,-108.27404,"130202070203	"
Rio Santa Barbara,"1254	",New Mexico,SNOTEL,Taos,10664,36.07196,-105.62949,"130201010905	"
San Antonio Sink,"1172	",New Mexico,SNOTEL,Rio Arriba,9143,36.85967,-106.22657,"130100050301	"
Santa Fe,"922	",New Mexico,SNOTEL,Santa Fe,11465,35.77154,-105.78487,"130202010102	"
Senorita Divide #2,"744	",New Mexico,SNOTEL,Rio Arriba,8569,36.00152,-106.83408,"130202020102	"
Shuree,"1169	",New Mexico,SNOTEL,Taos,10092,36.78765,-105.2392,"130201010102	"
Sierra Blanca,"1034	",New Mexico,SNOTEL,Lincoln,10268,33.40682,-105.79467,"130600080103	"
Signal Peak,"755	",New Mexico,SNOTEL,Grant,8405,32.92342,-108.14546,"150400010803	"
Silver Creek Divide,"757	",New Mexico,SNOTEL,Catron,9096,33.3696,-108.70711,"150400040605	"
Taos Powderhorn,"1168	",New Mexico,SNOTEL,Taos,11045,36.58195,-105.45617,"130201010701	"
Taos Pueblo,"1307	",New Mexico,SNOTEL,Colfax,11020,36.54099,-105.35944,"130201010602	"
Tolby,"934	",New Mexico,SNOTEL,Colfax,10220,36.47498,-105.19534,"110800020107	"
Tres Ritos,"1083	",New Mexico,SNOTEL,Taos,8755,36.1279,-105.52706,"130201010903	"
Vacas Locas,"1017	",New Mexico,SNOTEL,Rio Arriba,9364,36.02653,-106.81361,"130202020102	"
Wesner Springs,"854	",New Mexico,SNOTEL,San Miguel,11151,35.77584,-105.54337,"130600010802	"
Aneroid Lake #2,"302	",Oregon,SNOTEL,Wallowa,7400,45.21328,-117.19258,"170601050101	"
Annie Springs,"1000	",Oregon,SNOTEL,Klamath,6010,42.87007,-122.16518,"180102030101	"
Arbuckle Mtn,"304	",Oregon,SNOTEL,Morrow,5770,45.19085,-119.25392,"170702020604	"
Bear Grass,"1166	",Oregon,SNOTEL,Linn,4720,44.3253,-122.0938,"170900040203	"
Beaver Reservoir,"331	",Oregon,SNOTEL,Union,5150,45.14532,-118.219,"170601040301	"
Big Red Mountain,"341	",Oregon,SNOTEL,Jackson,6050,42.05257,-122.85487,"171003090301	"
Bigelow Camp,"343	",Oregon,SNOTEL,Josephine,5130,42.07875,-123.34393,"171003090105	"
Billie Creek Divide,"344	",Oregon,SNOTEL,Klamath,5280,42.40717,-122.26617,"180102030201	"
Blazed Alder,"351	",Oregon,SNOTEL,Clackamas,3650,45.4287,-121.85605,"170800010102	"
Blue Mountain Spring,"357	",Oregon,SNOTEL,Grant,5870,44.24767,-118.51722,"170501160104	"
Bourne,"361	",Oregon,SNOTEL,Baker,5850,44.83052,-118.18787,"170502030101	"
Bowman Springs,"362	",Oregon,SNOTEL,Umatilla,4530,45.36428,-118.46715,"170701030401	"
Cascade Summit,"388	",Oregon,SNOTEL,Deschutes,5100,43.59042,-122.0601,"170900010301	"
Chemult Alternate,"395	",Oregon,SNOTEL,Klamath,4850,43.22625,-121.80662,"180102010201	"
Clackamas Lake,"398	",Oregon,SNOTEL,Clackamas,3400,45.09658,-121.75443,"170900110301	"
Clear Lake,"401	",Oregon,SNOTEL,Wasco,3810,45.18832,-121.6916,"170703060901	"
Cold Springs Camp,"406	",Oregon,SNOTEL,Klamath,5940,42.53305,-122.17683,"180102030202	"
County Line,"422	",Oregon,SNOTEL,Umatilla,4830,45.19107,-118.55015,"170601040202	"
Crazyman Flat,"1010	",Oregon,SNOTEL,Klamath,6180,42.6381,-120.94917,"180102020101	"
Daly Lake,"434	",Oregon,SNOTEL,Linn,3690,44.52147,-122.08718,"170900060101	"
Derr.,"440	",Oregon,SNOTEL,Wheeler,5850,44.4465,-119.93012,"170703040401	"
Diamond Lake,"442	",Oregon,SNOTEL,Douglas,5280,43.18787,-122.14003,"171003010204	"
Eilertson Meadows,"464	",Oregon,SNOTEL,Baker,5510,44.86887,-118.11387,"170502030404	"
Emigrant Springs,"470	",Oregon,SNOTEL,Umatilla,3800,45.55808,-118.45383,"170701030501	"
Fifteenmile,"1314	",Oregon,SNOTEL,Hood River,5970,45.35265,-121.53,"170701050503	"
Fish Creek,"477	",Oregon,SNOTEL,Harney,7660,42.70992,-118.6321,"171200030107	"
Fish Lk.,"479	",Oregon,SNOTEL,Jackson,4660,42.3801,-122.34943,"171003070801	"
Fourmile Lake,"483	",Oregon,SNOTEL,Klamath,5970,42.43933,-122.2288,"180102030202	"
Gerber Reservoir,"945	",Oregon,SNOTEL,Klamath,4890,42.2062,-121.1334,"180102040508	"
Gold Center,"494	",Oregon,SNOTEL,Grant,5410,44.7638,-118.3117,"170702020202	"
Greenpoint,"504	",Oregon,SNOTEL,Hood River,3310,45.62237,-121.70415,"170701050603	"
High Ridge,"523	",Oregon,SNOTEL,Umatilla,4920,45.69682,-118.10657,"170701030103	"
Hogg Pass,"526	",Oregon,SNOTEL,Linn,4790,44.42042,-121.85655,"170900040201	"
Holland Meadows,"529	",Oregon,SNOTEL,Lane,4930,43.66917,-122.56877,"170900020201	"
Howard Prairie,"1158	",Oregon,SNOTEL,Jackson,4580,42.215,-122.3713,"180102060401	"
Irish Taylor,"545	",Oregon,SNOTEL,Deschutes,5540,43.80368,-121.94793,"170703010106	"
Jump Off Joe,"552	",Oregon,SNOTEL,Linn,3520,44.38605,-122.16683,"170900060201	"
King Mountain,"558	",Oregon,SNOTEL,Jackson,4340,42.72395,-123.20037,"171003020701	"
Lake Creek R.S.,"563	",Oregon,SNOTEL,Grant,5240,44.21007,-118.63752,"170501160102	"
Little Meadows,"584	",Oregon,SNOTEL,Linn,4020,44.61297,-122.22565,"170900060301	"
Lucky Strike,"605	",Oregon,SNOTEL,Umatilla,4970,45.27478,-118.8479,"170701030606	"
Madison Butte,"608	",Oregon,SNOTEL,Morrow,5150,45.10513,-119.49585,"170702041101	"
Marion Forks,"614	",Oregon,SNOTEL,Linn,2590,44.59397,-121.97365,"170900050205	"
Mckenzie,"619	",Oregon,SNOTEL,Lane,4770,44.2103,-121.87292,"170900040207	"
Milk Shakes,"1079	",Oregon,SNOTEL,Wallowa,5580,45.9821,-117.94883,"170701020201	"
Miller Woods,"1084	",Oregon,SNOTEL,Yamhill,420,45.24755,-123.27563,"170900080606	"
Moss Springs,"647	",Oregon,SNOTEL,Union,5760,45.27173,-117.68747,"170601040702	"
Mt Hood Test Site,"651	",Oregon,SNOTEL,Clackamas,5370,45.32097,-121.7158,"170800010302	"
Mt. Howard,"653	",Oregon,SNOTEL,Wallowa,7910,45.26522,-117.17373,"170601050102	"
Mud Ridge,"655	",Oregon,SNOTEL,Clackamas,4070,45.25362,-121.73673,"170800010302	"
New Crescent Lake,"660	",Oregon,SNOTEL,Klamath,4910,43.51185,-121.97982,"170703020205	"
North Fork,"666	",Oregon,SNOTEL,Multnomah,3060,45.5505,-122.00283,"170800010503	"
Ochoco Meadows,"671	",Oregon,SNOTEL,Crook,5430,44.42917,-120.3311,"170703050201	"
